lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag,0_vesc_id,0_avgMotorCurrent,0_avgInputCurrent,0_dutyCycleNow,0_rpm,0_inpVoltage,0_ampHours,0_ampHoursCharged,0_wattHours,0_wattHoursCharged,0_tachometer,0_tachometerAbs,0_tempMosfet,0_tempMotor,0_pidPos,0_error,1_vesc_id,1_avgMotorCurrent,1_avgInputCurrent,1_dutyCycleNow,1_rpm,1_inpVoltage,1_ampHours,1_ampHoursCharged,1_wattHours,1_wattHoursCharged,1_tachometer,1_tachometerAbs,1_tempMosfet,1_tempMotor,1_pidPos,1_error
47.987118,-1.554700,41.50,10,6,2025,17,19,58,0,1.3,0.22,0.00,-2.87,-12.06,0.00,-0.05,0.01,-0.50,2.07,9.52,-5.56,-1.37,-0.69,0.06,0.02,-0.06,-0.49,2.05,9.57,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554702,45.60,10,6,2025,17,19,58,500,1.3,0.22,0.00,-2.69,-12.00,0.01,-0.00,-0.01,-0.47,1.97,9.56,-6.25,-0.56,-1.50,-0.06,-0.08,0.00,-0.46,2.04,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554708,40.30,10,6,2025,17,19,59,400,1.3,0.33,0.19,-3.06,-11.56,-0.04,-0.01,0.00,-0.64,1.90,9.48,-7.37,-1.00,-1.50,-0.12,-0.09,-0.12,-0.52,1.96,9.59,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554713,43.50,10,6,2025,17,19,59,500,1.3,0.11,0.19,-2.75,-12.38,-0.14,-0.08,0.06,-0.48,1.52,9.83,-6.87,-1.00,0.06,-0.01,-0.57,0.26,-0.47,2.09,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554713,43.50,10,6,2025,17,19,59,900,1.3,0.07,0.31,-3.19,-12.31,-0.03,-0.04,-0.00,-0.64,2.17,9.55,-5.75,-1.37,-0.69,-0.09,0.03,0.00,-0.54,2.09,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987125,-1.554693,60.30,10,6,2025,17,20,0,400,1.3,0.07,0.25,-3.00,-12.19,0.00,-0.01,-0.01,-0.54,2.03,9.53,-7.56,-1.37,0.00,-0.02,-0.04,-0.03,-0.51,2.07,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554702,69.30,10,6,2025,17,20,1,500,1.3,0.04,0.25,-3.00,-12.13,-0.01,0.03,-0.00,-0.54,2.06,9.53,-6.56,-1.69,0.37,-0.02,0.00,-0.03,-0.51,2.06,9.57,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554697,68.20,10,6,2025,17,20,1,600,2.1,0.04,0.25,-3.19,-12.19,-0.02,-0.01,-0.00,-0.68,2.02,9.54,-7.37,-0.25,-0.75,-0.13,-0.04,-0.02,-0.54,2.06,9.57,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554698,68.20,10,6,2025,17,20,2,0,2.1,0.09,0.25,-3.19,-12.25,0.02,0.02,-0.01,-0.60,2.02,9.44,-6.69,-0.56,-0.37,-0.05,-0.05,-0.11,-0.55,2.08,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554700,70.20,10,6,2025,17,20,2,500,2.1,0.09,0.25,-3.19,-12.25,-0.03,0.02,-0.01,-0.58,2.07,9.59,-6.69,-1.00,0.00,-0.03,-0.01,0.02,-0.54,2.08,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554703,69.90,10,6,2025,17,20,3,400,2.1,0.04,0.31,-3.25,-12.31,-0.00,0.04,-0.01,-0.68,2.10,9.60,-7.37,-0.56,-1.19,-0.11,0.01,0.03,-0.56,2.09,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554703,69.80,10,6,2025,17,20,3,500,1.3,0.02,0.37,-3.25,-12.44,-0.02,0.06,-0.02,-0.66,2.13,9.55,-7.00,-0.37,-0.37,-0.10,0.01,0.00,-0.56,2.11,9.55,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554705,69.80,10,6,2025,17,20,3,900,1.3,0.02,0.37,-3.19,-12.25,-0.02,0.02,-0.00,-0.61,2.05,9.54,-5.06,0.50,-1.19,-0.06,-0.03,-0.01,-0.54,2.08,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554708,69.50,10,6,2025,17,20,4,400,1.3,0.02,0.37,-3.19,-12.50,0.03,0.03,-0.05,-0.54,2.05,9.37,-7.25,-1.00,-0.25,0.00,-0.07,-0.18,-0.55,2.12,9.55,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554712,69.30,10,6,2025,17,20,5,500,2.1,0.00,3.69,-4.06,-13.63,-0.06,0.67,-0.04,-0.80,2.59,9.93,-6.06,1.00,-2.25,-0.04,0.30,0.42,-0.76,2.29,9.50,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554712,69.30,10,6,2025,17,20,5,600,1.3,0.02,3.81,-3.19,-10.94,-0.05,0.06,-0.01,-0.78,1.85,9.59,-3.87,2.06,-1.00,-0.23,0.06,-0.03,-0.55,1.86,9.61,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554712,69.30,10,6,2025,17,20,6,0,1.3,0.02,3.50,-3.62,-10.31,0.17,0.09,-0.01,-0.52,2.00,9.29,-3.19,1.75,-0.69,0.12,0.26,-0.43,-0.62,1.77,9.62,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554712,69.30,10,6,2025,17,20,6,500,1.3,0.02,5.06,-4.00,-12.00,0.44,0.20,-0.76,-1.21,2.01,10.63,-3.87,1.50,-1.37,-0.52,-0.02,1.07,-0.68,2.03,9.56,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
